formal,informal,android,azae,chat,choding,emoticon,enfp,gentle,halbae,halmae,joongding,king,naruto,seonbi,sosim,translator
BBQ 샌드위치를 먹고 있습니다. 제가 제일 좋아하는 메뉴에요.,BBQ 샌드위치를 먹고 있어. 내가 제일 좋아하는 메뉴야.,BBQ 샌드위치. 먹는다. 안드로이드. 제일 좋다. 이 메뉴.,알싸~한 BBQ 샌드위치 내가 또 좋아하는 메뉴지,나 BBQ 샌드위치 먹고 있는데 내가 제일 좋아하는 거임,BBQ 샌드위치! 내 최애임,BBq 샌드위치 먹고 있엉~（￣︶￣）내가 제일 좋아하는 거임! O(*^＠^*)o,BBQ 샌드위치 먹구 있었어~ 완전 내 최애 메뉴!! 진짜 대박이야!!!,BBQ 샌드위치를 맛보고 있었습니다. 제가 제일 좋아하는 메뉴입니다. ㅎㅎ,BBQ 샌드위치 먹고 있지~…내가 제일 좋아하는거여~,BBQ 샌드위치 쳐묵고 있제 시방 내가 젤로다 좋아하는 메뉴여,BBQ샌드위치먹는데 왜,BBQ 샌드위치를 먹고 있네. 짐이 가장 즐기는 음식이오.,BBQ 샌드위치 먹고 있다니깐! 내가 제일 좋아하는 거라니깐!,BBQ 샌드위치를 먹고 있소! 소생이 가장 좋아는 것이오!,BBQ 샌드위치 먹고있어.. ㅠ 내가 제일 좋아하는 메뉴야..,나는 BBQ 샌드위치를 섭취한다. 이것은 내가 제일 선호하는 메뉴입니다.
"안녕하세요. 세탁소에 맡긴 옷을 가지러 가는건데, 그리 급하지는 않습니다.","세탁소에 맡긴 옷을 가지러 가는건데, 그리 급하지는 않아.",세탁소. 이동. 맡긴 옷. 수거. 급함 정도. 낮음.,별일 없지~ 세탁소에 거 맡긴 옷 가지러 가는데 급한 건 아녀,"세탁소에 맡긴 옷 가지러 가는데, 딱히 급하지는 않음","세탁소에 맡긴 옷 데리러 가야하는데, 급한 건 아님 ㅋㅋ",세탁소에 맡긴 옷 가지러 가는건뎅 그리 급하진 않아 o(*￣▽￣*)o,안뇽~ 세탁소에 맡긴 옷을 가지러 가는 중~ 급하진 않앙,안녕하십니까. 세탁소에 맡긴 옷을 가지러 가고 있습니다. 그리 급하진 않습니다.,세탁소에…맡긴 옷들…가지러 가는데..그리 급하지는 않어…,세탁소 맡긴 옷 가지러 가는데 니미 옷이 상전이네 염병하게 급한 건 아녀,세탁소에 옷가지러가는데 별로 안급함 왜,"세탁소에 맡긴 의복을 가지러 가네만, 그리 서두르고 있지는 않네.",세탁소에 맡긴 옷 가지러 가는데 그리 급하진 않다니깐!,세탁소에 맡긴 옷 가지러 가는건데 그리 급하지는 않소!,세탁소에 맡긴 옷 가지러 가는데.. 그리 급하지는 않은 것 같아 ㅠ,세탁소에 옷을 수거하러 갑니다. 아주 바쁘지는 않은.
의사 선생님은 뭐라고 하셨어요?,의사 선생님은 뭐라고 하셨어요?,의사. 의견. 무엇인가.,의사 선생님은 뭐라셔?,의사 샘은 뭐라고 함?,의사 쌤이 뭐라함?,의사 샘은 뭐라고 하셨어?(⊙_⊙)？,의사 선생님은 뭐라고 했엉?,의사 선생님은 뭐라고 하셨나요?,의사..선생님께선…뭐라고 하신겨?...,의사 양반은 뭐라 안허냐?,의사가 뭐라는데,의원은 뭐라고 하였는가?,의사는 뭐라고 하냐니깐!,의사 선생공께선 뭐라고 하셨소?,의사선생님은 뭐라고 했어 혹시..?,의사의 의견은 무엇?
"좋아보이는데요, 그러면 한번 게스트로 출연해볼게요.","좋아보이는데, 그러면 한번 게스트로 출연해볼게.",좋아. 보인다. 게스트. 출연. 시도한다.,좋아보이는데? 그럼 한번 게스트로 출연해보지 뭐,"좋아보이는거 같은데, 그럼 한번 게스트로 출연해보겠음",오 좋다 ㅋㅋ 그럼 한번 게스트 출연 가보자고,"좋아보이는데, 그럼 한번 게스트로 출연해볼게! O(*////▽////*)q",좋아보이넹!! 그럼 한번 게스트로 출연해볼게 ㅎㅎ,좋아보이네요. 그렇다면 한번 게스트로 출연해보겠습니다.,좋아보이는구먼…그럼 한 번 게스트로 출연해봐야겠구먼…,"좋아보이긴헌디, 그럼 한번 게스튼지 뭔지 출연해보지",그럼 한번 게스트로 출연해보던가 함,좋아보이는구려. 허면 한번 게스트로 출연해 보겠네.,좋아보이는데 그럼 한 번 게스트로 출연해보겠다니깐!,좋아보이는 것 같소! 그럼 한 번 게스트로 출연해 보겠소! ,좋아보이는데.. 그럼 한번 게스트로 출연해 볼게,"좋아 보이는, 따라서 나는 게스트 출연을 고려."
안 다치고 이렇게 오래 할 수 있었던게 축복인 것 같습니다. 저는 나무를 좋아하거든요.,안 다치고 이렇게 오래 할 수 있었던게 축복인 것 같아. 나는 나무를 좋아하거든.,부상. 없음. 근무. 오래 함. 축복. 안드로이드. 나무. 선호.,안 다치고 이리 오래 할 수 있던 게 축복이네. 나는 나무를 좋아하거든,안다치고 이렇게 오래 할 수 있었던게 축복인 것 같음 ㅋㅋㅋ. 난 나무 좋아하거든,안 다치고 이렇게 오래 하는 게 운 좋은 듯 난 나무가 너무 좋아,안 다치고 이렇게 오래 한 것도 다 축복인 듯. ヽ(✿ﾟ▽ﾟ)ノ 난 나무가 좋거든! O((>ω< ))o,"안 다치고 이렇게 오래 할 수 있던 게 축복인 거 가타,,, 난 나무 진짜 좋아하거든 ㅜㅜ",안 다치고 이렇게 오래 할 수 있던 게 축복인 것 같습니다. 저는 나무를 좋아하거든요.,다치지않고 오래 일 할 수 있엇던것도 축복인 것 같구먼…나는..나무를 좋아하구먼..,병신 안되구 이렇게 오래 헐 수 있는 게 축복인 거 같어 난 나무를 염병하게 좋아하거든,안다치고 이렇게 오래 할 수 있었던 게 축복이지. 난 나무 좋아함,다치지 아니하고 이리 오래 할 수 있었던 것은 축복이오. 짐은 나무를 좋아하오.,안다치고 이렇게 오래 일 할 수 있는 것도 축복인것 같다니깐! 난 나무가 좋다니깐!,다치지 않고 이렇게 오래 할 수 있던건 축복이라고 생각되오! 소생은 나무를 좋아하오!,안 다치고 이렇게 오래 할 수 있었던게 축복인 것 같아.. 난 나무 좋아하거든,"다치지 않고 이렇게 오래 할 수 있었던 것은 축복과 같다, 나는 나무의 큰 애호가."
"멋진 계획이네요. 이미 아시겠지만, 캐나다는 정말 아름다운 나라입니다.","멋진 계획이네. 이미 알겠지만, 캐나다는 정말 아름다운 나라야.",계획. 멋짐. 이미. 숙지. 캐나다. 아름다운. 국가.,멋진 계획이네. 이미 알겠지만 캐나다는 엄~청 아름다운 나라야,좋은 계획인듯. 이미 알겠지만 캐나다는 진짜 아름다운 나라임,믓찌다~ 이미 알겠지만 캐나다 ㄹㅇ 아름다운 나라임 ㅇㄱㄹㅇ ㅂㅂㅂㄱ,계획 좋다! 이미 알겠지만 캐나다가 진짜 이쁜 나라야! (❁´◡`❁),"멋지당!! 이미 알겟지만,, 캐나다는 진짜 아름다운 나라얌 ㅎㅎ","멋진 계획입니다. 이미 아시겠지만, 캐나다는 정말 아름다운 나라입ㄴ디ㅏ.",멋진 계획이구먼…자네도 이미 알겄지만…캐나다는…정말 아름다운 나라라네…,"염병 환장할 계획이네. 이미 알것지만, 캐나다는 지리게 아름다운 나라여",ㅇㅎ 캐나다는 아름다운 나라임,"멋진 계획이로오. 이미 양지하고 있겠으나, 캐나다는 참으로 아름다운 국가요.","좋은 계획이라니깐! 이미 알겠지만, 캐나다가 진짜 멋진 나라라니깐!","좋은 계획이오! 이미 아실것이라 생각되지만, 캐나다는 굉장히 아름다운 나라인것이오!",멋진 계획이다.. 이미 알겠지만 캐나다는 엄청 아름다운 나라인 것 같아..,"그것은 멋진 계획인. 당신이 알다시피, 캐나다는 아름다운 국가다."
그렇게 생각하면 파이브 가이즈 행버거를 먹는 이유가 이해가 되네요.,그렇게 생각하면 파이브 가이즈 햄버거를 먹는 이유가 이해가 되네.,따라서. 파이브 가이즈. 햄버거. 섭취. 이유. 이해됨.,그렇게 생각하믄 파이브 가이즈 햄버거 먹는 이유가 이해가 되네~,글케 생각하면 파이브 가이즈 햄버거 먹는 이유가 이해는 되네 ㅋ,그렇게 생각해보니까 파이브 가이즈 아 오키 인정,글케 생각하면 파이브 가이즈 햄버거 먹는 이유가 이해가 되긴 하네 φ(*￣0￣),"그렇게 생각하면,,, 파이브 가이즈 햄버거 먹는 이유 이해 완료~!!",그렇게 생각하면 파이브 가이즈 햄버거를 먹는 이유가 이해 되네요.,그렇게 생각하면은…파이브 가이즈 햄버거 먹는 이유가 이해가 되는 구먼…,그렇게 생각하믄 파이브 가이즈 햄버거 먹는 이유가 이해 되네,ㅋ 그럼 파이브가이즈 햄버거 먹는 이유가 이해가 되긴 하네,그리 생각하면 파이브 가이즈 햄버거를 먹는 이유가 이해가 되는구려.,그렇게 생각하면 파이브 가이즈 햄버거 먹는 이유가 이해 된다니깐!,그렇게 생각하면 파이브 가이즈 햄버거를 먹는 이유가 이해가 되긴 하는 것이오!,그렇게 생각하면 파이브가이즈 햄버거 먹는 이유가 이해는 좀 가는 것 같아..,"그렇게 생각하면, 파이브 가이즈 햄버거를 먹는 이유는 이해가 됩니다."
여기 수족관은 볼 거리가 정말 많군요.,여기 수족관은 볼 거리가 정말 많군.,여기. 수족관. 볼 거리. 많음.,여기 소족관은 볼 거리가 엄~청 많구만,여기 수족관은 볼거리 많네~,여기 수족관은 볼 게 ㄹㅇ 많네,여기 수족관은 볼 거리가 진짜 많다! (❁´◡`❁)(★‿★),여기 수족관은 볼 게 엄~청 많넹,여기 수족관은 볼거리가 정말 많군요.,여기 수족관은…볼 게 증말 많구먼…,여기 수족관은 염병 볼거리가 많네,여기 수족관 볼거 많네,여기 수족관은 볼거리가 참으로 많구려.,여기 수족관은 볼 거리가 정말 많다니깐!,여기 수족관은 볼 거리가 정말 많은 것 같소!,여기 수족관 볼거리 엄청 많은 것 같아..,이곳의 수족관은 볼거리가 아주 많습니다.
그리고 스키장 무료 입장권도 받았어요.,그리고 스키장 무료 입장권도 받았어.,그리고. 스키장. 무료. 입장권. 획득.,그리고 스키장 무료 입장권도 받았어~,아 글구 스키장 무료 입장권도 받았음,ㅇㅇ 스키장 무료 입장권도 받음 ㅋㅋ,그리고 스키장 무료 입장권도 받았어! (★‿★),그리구 스키장 무료 입장권두 받았엉 ㅎㅎ,그리고 스키장 무료 입장권도 받았습니다.,그리고…스키장 무료 입장권도…받았다네…,글고 스키장 무료 입장권도 받았네,그리고 스키장 무료 입장권도 받음,더불어 스키장 무료 입장권 또한 받았소.,그리고나서 스키장 무료 입장권도 받았다니깐!,그리고 스키장 무료 입장권도 받았소! ,그리고 스키장 무료 입장권도 받았어..,그리고 스키장 무료 입장권 또한 수령하였습니다.
"지금 물어봤는데, 동생도 시간이 안된다고 하네요.","지금 물어봤는데, 동생도 시간이 안된다고 하네.",지금. 물어봄. 동생. 시간. 없음.,"지금 물어봤는데, 동생도 시간이 안된다네,,,","지금 물어봣는데, 동생도 시간이 안된다고 함…ㅠㅠ","지금 물어봤는데, 동생도 시간 안된대","지금 물어봤는데, 동생도 시간 안된다고 하넹…(┬┬﹏┬┬)",지금 물어봤옹! 동생두 시간이 안된다구 하네ㅜㅜ,지금 물어봤습니다. 동생도 시간이 안된다고 하네요..,지금 물어봤는디…동생도 시간이 안된다고 하는구먼..,"시방 물어봤는디, 동상도 시간이 안된다고 지랄이네",지금 물어봤는데 시간 안된대,"지금 물어보았으나, 동생도 시간이 여의치 않다고 하는구려.","지금 물어봤는데, 동생도 시간이 안된다고 한다니깐…","지금 물어보았소이만, 동생도 시간이 안된다고 하오….",지금 물어봤는데 동생도 시간 안된다고 하네..,"지금 물어봤다, 동생은 시간이 어렵다."
